Ticker,Sector,MarketCap,ROE,DER,NPM
BIRD,Transportation & Logistic,"4,4E+12","10,2E+0","50,0E-2","15,3E+0"
BISI,Consumer Non-Cyclicals,"2,7E+12","4,3E+0","8,0E-2","13,5E+0"
BJBR,Financials,"8,3E+12","4,8E+0","9,0E+0","7,2E+0"
BJTM,Financials,"8,1E+12","9,5E+0","6,1E+0","20,0E+0"
BKDP,Properties & Real Estate,"30,1E+10","-11,5E+0","1,3E+0","-1,3E+2"
BKSL,Properties & Real Estate,"25,7E+12","41,0E-2","40,0E-2","7,4E+0"
BKSW,Financials,"2,3E+12","5,0E-2","1,7E+0","42,0E-2"
BLES,Basic Materials,"1,4E+12","7,7E+0","89,0E-2","7,8E+0"
BLOG,Transportation & Logistic,"1,5E+12","22,7E+0","72,0E-2","13,9E+0"
BLTA,Transportation & Logistic,"83,0E+10","3,9E+0","1,1E+0","7,1E+0"
BLTZ,Consumer Cyclicals,"2,6E+12","-13,0E+0","3,4E+0","-5,9E+0"
BLUE,Industrials,"1,3E+12","13,9E+0","9,0E-2","13,0E+0"
BMAS,Financials,"12,3E+12","-4,2E+0","2,4E+0","-23,6E+0"
BMBL,Consumer Cyclicals,"7,8E+10","-13,0E+0","8,0E-2","-1,1E+2"
BMHS,Healthcare,"1,7E+12","58,0E-2","69,0E-2","1,1E+0"
BMRI,Financials,"4,5E+14","16,4E+0","6,3E+0","35,2E+0"
BMSR,Basic Materials,"33,8E+10","-9,8E+0","91,0E-2","-3,1E+0"
BMTR,Industrials,"2,3E+12","1,8E+0","22,0E-2","7,1E+0"
BNBA,Financials,"2,2E+12","61,0E-2","1,6E+0","4,8E+0"
BNBR,Industrials,"9,9E+12","-7,2E+0","73,0E-2","-11,2E+0"
BNGA,Financials,"44,2E+12","12,4E+0","5,6E+0","33,0E+0"
BNII,Financials,"15,4E+12","4,8E+0","5,1E+0","15,1E+0"
BNLI,Financials,"1,7E+14","8,1E+0","5,0E+0","24,9E+0"
BOAT,Energy,"44,8E+10","7,3E+0","42,0E-2","14,3E+0"
BOBA,Consumer Non-Cyclicals,"22,7E+10","12,2E+0","10,0E-2","15,5E+0"
BOGA,Consumer Cyclicals,"4,0E+12","-5,9E+0","74,0E-2","-9,1E+0"
BOLA,Consumer Cyclicals,"1,0E+12","11,3E+0","17,0E-2","42,1E+0"
BOLT,Consumer Cyclicals,"2,5E+12","14,3E+0","56,0E-2","10,8E+0"
BOSS,Energy,"7,0E+10",,"-4,8E+0","-1,3E+2"
BPFI,Financials,"87,7E+10","6,8E+0","1,0E+0","33,4E+0"
BPII,Financials,"5,4E+12","7,2E+0","1,9E+0","15,1E+0"
BPTR,Transportation & Logistic,"31,8E+10","3,2E+0","2,7E+0","4,2E+0"
BRAM,Consumer Cyclicals,"2,2E+12","0,0E+0","21,0E-2","0,0E+0"
BREN,Infrastructures,"12,8E+14","17,0E+0","3,4E+0","32,1E+0"
BRIS,Financials,"1,1E+14","15,0E+0","1,8E+0","52,3E+0"
BRMS,Basic Materials,"1,4E+14","4,6E+0","18,0E-2","25,8E+0"
BRNA,Basic Materials,"70,0E+10","1,5E+0","1,2E+0","2,0E+0"
BRPT,Basic Materials,"3,4E+14","9,6E+0","1,5E+0","11,0E+0"
BRRC,Consumer Non-Cyclicals,"13,6E+10","2,0E+0","41,0E-2","1,9E+0"
BSBK,Properties & Real Estate,"1,7E+12","15,9E+0","34,0E-2","1,2E+2"
BSDE,Properties & Real Estate,"19,9E+12","5,9E+0","51,0E-2","34,5E+0"
BSIM,Financials,"17,1E+12","3,4E+0","4,2E+0","12,5E+0"
BSML,Energy,"42,2E+10","2,8E+0","54,0E-2","6,1E+0"
BSSR,Energy,"10,2E+12","28,8E+0","30,0E-2","17,1E+0"
BSWD,Financials,"3,0E+12","1,1E+0","1,0E+0","11,3E+0"
BTEK,Consumer Non-Cyclicals,"74,0E+10","-1,9E+2","8,9E+0","-12,1E+2"
BTEL,Infrastructures,"1,8E+12",,"-1,0E+0","-51,6E+0"
BTON,Basic Materials,"27,6E+10","11,3E+0","50,0E-2","38,1E+0"
BTPN,Financials,"22,2E+12","4,1E+0","3,1E+0","11,4E+0"
BTPS,Financials,"10,0E+12","12,4E+0","28,0E-2","34,8E+0"
BUAH,Consumer Non-Cyclicals,"1,4E+12","27,9E+0","1,4E+0","2,6E+0"
BUDI,Consumer Non-Cyclicals,"1,0E+12","5,2E+0","1,4E+0","4,1E+0"
BUKA,Technology,"17,4E+12","7,7E+0","3,0E-2","41,4E+0"
BUKK,Infrastructures,"5,1E+12","7,8E+0","2,2E+0","30,3E+0"
BULL,Energy,"4,7E+12","7,8E+0","86,0E-2","13,7E+0"
BUMI,Energy,"90,6E+12","-60,0E-2","41,0E-2","-1,6E+0"
BUVA,Consumer Cyclicals,"33,8E+12","7,1E+0","40,0E-2","35,6E+0"
BVIC,Financials,"2,1E+12","3,8E+0","6,9E+0","9,6E+0"
BWPT,Consumer Non-Cyclicals,"5,3E+12","12,9E+0","2,5E+0","8,4E+0"
BYAN,Energy,"5,9E+14","34,9E+0","25,0E-2","34,9E+0"
CAKK,Industrials,"21,3E+10","-25,0E+0","2,1E+0","-16,2E+0"
CAMP,Consumer Non-Cyclicals,"1,3E+12","8,7E+0","15,0E-2","9,9E+0"
CANI,Energy,"4,2E+10",,"-1,3E+0","-3,0E+2"
CARE,Healthcare,"12,5E+12","-28,0E-2","39,0E-2","-3,7E+0"
CARS,Consumer Cyclicals,"1,9E+12","16,8E+0","1,4E+0","6,0E+0"
CASA,Financials,"81,7E+12","1,1E+0","2,2E+0","2,8E+0"
CASH,Technology,"15,0E+10","-37,4E+0","1,3E+0","-64,9E+0"
